,KO_Gene,Paralog,Perc_ID,FC2,Base_Mean,padj,KO_FC2,significant,upreg
72,MTF1,IRF2BPL,14.0704,0.0235897742665616,553.89443662875,0.932911772505457,-0.481235542838999,0,0
77,MTF1,ZNF362,10.8943,-0.0389076438617841,42.4652170028093,0.96264071148158,-0.481235542838999,0,0
79,MTF1,PATZ1,15.272,-0.0275492916733085,323.727747286773,0.947418158324262,-0.481235542838999,0,0
81,MTF1,HIC2,10.7879,0.118357405463033,67.4411380618038,0.863602723301783,-0.481235542838999,0,0
82,MTF1,ZNF76,11.2195,-0.322516652298651,166.060766301316,0.118858782641222,-0.481235542838999,0,0
83,MTF1,ZFP91,19.1228,-0.0229782841848898,431.162220806649,0.943969165009277,-0.481235542838999,0,0
86,MTF1,ZBTB1,12.8421,0.0859553644981353,237.148997797528,0.819922622098447,-0.481235542838999,0,0
76,MTF1,ZNF653,10.2241,-0.0883306221543292,22.2060282553524,0.932911772505457,-0.481235542838999,0,0
121,NSD1,SUV39H2,22.1951,0.605159939497306,79.1176860355826,0.021316799652027,-0.754631163585048,1,1
127,NSD1,SETDB1,9.44272,-0.544661364774053,205.365769284894,0.00185185738716425,-0.754631163585048,1,0
126,NSD1,KMT2C,3.82814,-0.456614623879375,953.851777358836,0.0077336602365611,-0.754631163585048,1,0
125,NSD1,EZH2,14.2477,0.471710124887117,336.475588179742,0.00949173508688768,-0.754631163585048,1,1
124,NSD1,SETDB2,12.0226,-0.194344024586521,186.738402836592,0.439525146932279,-0.754631163585048,0,0
123,NSD1,KMT2D,3.46758,-0.583776351203915,839.777078687972,0.000839899366568786,-0.754631163585048,1,0
122,NSD1,EHMT1,12.0185,-0.106831737894434,198.238969254195,0.55800861018209,-0.754631163585048,0,0
120,NSD1,SETD1A,6.56122,-0.163408819921736,263.883318752599,0.256252110785022,-0.754631163585048,0,0
115,NSD1,EZH1,13.9224,-0.335424674264152,138.72283677727,0.217014789492746,-0.754631163585048,0,0
118,NSD1,SETD2,9.67239,-0.0713256828308339,341.562728348595,0.699677612867899,-0.754631163585048,0,0
111,NSD1,KMT2B,7.62431,-2.07985332335245,3.95842737152751,0.188702454096077,-0.754631163585048,0,0
112,NSD1,ASH1L,8.90688,-0.277007057234917,460.479353642787,0.0424259818243905,-0.754631163585048,1,0
113,NSD1,EHMT2,11.6529,-0.0415044991849681,328.324447863775,0.823161810579112,-0.754631163585048,0,0
119,NSD1,SETD1B,6.30722,-0.42252052217599,175.069100870292,0.029349929708914,-0.754631163585048,1,0
116,NSD1,KMT2A,5.94159,-0.387678008973688,653.132952951266,0.013464960900923,-0.754631163585048,1,0
117,NSD1,SETBP1,9.33584,0.0697861313503128,9.64892013344969,0.94089478951103,-0.754631163585048,0,0
114,NSD1,SUV39H1,20.8738,0.768616468489587,52.390018495256,0.00733268573920566,-0.754631163585048,1,1
128,PLK1,PLK3,37.7709,-0.135870749807372,85.8056264537034,0.721168657400417,0.537684338969668,0,0
130,PLK1,PLK2,34.8905,-0.166770662403742,182.471699865486,0.517566200717666,0.537684338969668,0,0
131,PLK1,PLK4,15.9794,0.731806102994502,74.1496381176402,0.0496905312431224,0.537684338969668,1,1
148,PRPF4B,CDK20,27.4566,-0.332568317792372,32.6005236297018,0.378284018969685,0.0179357531831615,0,0
149,PRPF4B,CDK9,22.5806,0.31811393746342,136.474668296747,0.261806724132441,0.0179357531831615,0,0
150,PRPF4B,CDK12,14.094,-0.244035687993217,315.422519774917,0.0316387239948863,0.0179357531831615,1,0
151,PRPF4B,CDK8,19.181,0.252633988294243,115.136327266153,0.321047392828847,0.0179357531831615,0,0
152,PRPF4B,CDK10,26.9444,-0.306090015781838,300.791326625819,0.058477707066376,0.0179357531831615,0,0
155,PRPF4B,CDK13,12.3677,-0.54285659117006,289.97618159334,0.00400416556798162,0.0179357531831615,1,0
154,PRPF4B,CDK11A,20.3846,-0.343184372683509,5.7308861350525,0.685541993418303,0.0179357531831615,0,0
156,PRPF4B,CDK18,28.0591,-0.947142413571056,249.954228591653,9.23280654531459e-06,0.0179357531831615,1,0
157,PRPF4B,CDK17,25.8126,0.029727662196798,127.827718998021,0.922038773963567,0.0179357531831615,0,0
153,PRPF4B,CDK11B,20.844,0.0879214791816352,109.177201599331,0.652590301259195,0.0179357531831615,0,0
147,PRPF4B,CDK2,31.8792,-0.364074750397785,2122.90979226819,0.0179797658671476,0.0179357531831615,1,0
144,PRPF4B,CDK15,24.5977,0.293827990497368,8.24405722986169,0.641423361910271,0.0179357531831615,0,0
134,PRPF4B,CDK5,33.5616,0.47376891988604,139.784261967268,0.00600678877552194,0.0179357531831615,1,1
143,PRPF4B,CDK16,26.2097,-0.14082244854142,371.986877565906,0.355182509429629,0.0179357531831615,0,0
142,PRPF4B,CDK6,28.5276,-0.215685109413111,480.311427629145,0.31540402867336,0.0179357531831615,0,0
141,PRPF4B,CDKL5,10.4167,-1.41575796278514,19.2543675758272,0.00195342937212147,0.0179357531831615,1,0
140,PRPF4B,CDK19,18.1275,-0.929082148643099,119.273246040912,0.00103418916880631,0.0179357531831615,1,0
139,PRPF4B,CDKL1,26.6106,-0.923133160267156,10.675906717465,0.244561331350585,0.0179357531831615,0,0
138,PRPF4B,CDK1,32.3232,1.4247364346171,396.171078914489,4.76702590474998e-10,0.0179357531831615,1,1
137,PRPF4B,CDK3,32.7869,-1.01378217955752,2.64491014729994,0.43826046701384,0.0179357531831615,0,0
136,PRPF4B,CDK7,26.8786,-0.280568355373473,142.616678297419,0.188848517008706,0.0179357531831615,0,0
135,PRPF4B,CDKL3,15.2027,0.340779784169862,3.94514313015149,0.738587881740544,0.0179357531831615,0,0
145,PRPF4B,CDK4,31.3531,0.368882590118818,347.558738930619,0.00988828929298879,0.0179357531831615,1,1
158,RUNX3,RUNX1,56.25,2.12916070012364,184.784078580229,2.51937987803366e-80,-0.362573658585057,1,1
159,RUNX3,RUNX2,52.3992,0.0206345457665073,145.184279850746,0.981720352910694,-0.362573658585057,0,0
172,SOX10,SOX4,19.6203,-0.870871862111559,218.39031643886,1.93272989442353e-06,-0.0497193532611461,1,0
168,SOX10,SOX6,8.81643,-0.640441631902319,1158.09435846608,5.20522061273912e-05,-0.0497193532611461,1,0
166,SOX10,SOX5,9.82962,-0.565965613991141,310.155017023416,5.23495069238021e-06,-0.0497193532611461,1,0
177,SOX10,SOX15,31.7597,0.108336458824031,3.91542306078282,0.934227332513494,-0.0497193532611461,0,0
162,SOX10,SOX13,10.2894,0.177537213692239,534.070620797161,0.404230044155577,-0.0497193532611461,0,0
160,SOX10,SOX12,23.1746,-0.60367053650875,725.368062040973,4.2650628304889e-06,-0.0497193532611461,1,0
165,SOX10,SOX8,48.8789,-2.61759796155312,32.9685042507481,1.53853455830407e-06,-0.0497193532611461,1,0
180,SP1,SP4,40.4337,0.910325221412901,88.0622415662303,1.78934348599862e-08,0.172378727758357,1,1
178,SP1,SP3,35.3393,0.235232513158866,441.686878136187,0.0950896822062355,0.172378727758357,0,0
179,SP1,SP2,36.2153,0.237575482149652,114.256344321192,0.541301633221989,0.172378727758357,0,0
181,SRF,MEF2A,17.0297,-0.435160977828254,594.21435990388,0.00872137895631765,-0.677994225414857,1,0
183,SRF,MEF2D,17.0825,-0.702950119288175,312.135783902716,1.24574100858517e-06,-0.677994225414857,1,0
184,SRF,MEF2C,19.2389,0.273640755306696,97.7372795028127,0.238025064082501,-0.677994225414857,0,0
204,STK11,CAMK2A,16.7689,0.448353648836695,5.79700383786236,,0.280254282056708,0,0
201,STK11,CAMK2G,14.966,0.0457426948235099,160.865657529145,0.894476929916675,0.280254282056708,0,0
199,STK11,DCLK1,16.0811,0.958785837726402,29.7298164201346,0.000463124186194481,0.280254282056708,1,1
198,STK11,PHKG2,19.7044,0.00532619269798505,91.3258756556339,0.992725901220004,0.280254282056708,0,0
203,STK11,CAMK2D,16.5103,-0.457418024641372,306.360947841256,0.0243163401274356,0.280254282056708,1,0
190,STK11,DCLK2,15.2742,-0.40674339250181,15.3781784767831,0.58767987943643,0.280254282056708,0,0
189,STK11,CAMKK2,18.7075,-0.0577123584612043,164.76205613812,0.893207614132353,0.280254282056708,0,0
188,STK11,CAMKK1,20.5941,-0.043035357753324,75.6881304737834,0.923223179020029,0.280254282056708,0,0
186,STK11,PHKG1,22.4806,-0.0929669696239552,8.98862691053254,0.944238881335258,0.280254282056708,0,0
191,STK11,PSKH1,22.6415,0.0400287989926541,134.482288916338,0.933258041333447,0.280254282056708,0,0
192,STK11,PNCK,29.1545,-0.14841659240665,48.6063650095405,0.797941785532296,0.280254282056708,0,0
231,VEZF1,ZNF148,10.3275,0.0566296132060736,257.348195832373,0.869042655930255,-0.496368425827731,0,0
226,VEZF1,MAZ,36.0587,0.1105720534074,247.933462853584,0.75540165669245,-0.496368425827731,0,0
227,VEZF1,ZBTB18,9.60452,-0.00334762240149529,135.086290736306,0.99321120841968,-0.496368425827731,0,0
228,VEZF1,ZNF143,13.4796,-0.142821629284019,61.7026627348715,0.769777072396188,-0.496368425827731,0,0
230,VEZF1,SNAI1,21.9697,0.166941288739487,66.5797317513777,0.739617125323147,-0.496368425827731,0,0
241,VEZF1,PRDM10,6.92042,-0.209894313715652,71.3204841469996,0.586737071199489,-0.496368425827731,0,0
235,VEZF1,ZBTB42,10.1896,0.23738711174529,13.9273759322389,0.808419825262444,-0.496368425827731,0,0
236,VEZF1,ZNF451,6.97455,0.0675713867897424,128.147068308178,0.896654027953693,-0.496368425827731,0,0
237,VEZF1,ZNF692,13.2948,0.0462026666223257,214.061353469313,0.896654027953693,-0.496368425827731,0,0
240,VEZF1,ZNF384,12.9934,0.00323407021656698,320.111552018531,0.9922833542511,-0.496368425827731,0,0
225,VEZF1,ZNF281,10.9497,-0.0232048711276941,226.971086252114,0.959508127505765,-0.496368425827731,0,0
233,VEZF1,ZBTB45,9.58904,0.221639332340461,56.8169712900081,0.564750518984043,-0.496368425827731,0,0
224,VEZF1,ZBTB20,7.28745,-0.00616730781987007,20.9421039901364,0.995142730563054,-0.496368425827731,0,0
