paramset,ss_A1,ss_Anons1,ss_Aprim1,ss_Aprim2,ss_B1
64,0,126.904730280229,118.896305204818,118.896305204818,4.6998846147563
65,0,8.96751720289991,0.00261413822971976,0.00261413822971976,3.31526053377472e-09
66,0,8.56644920312353,0.456874166484204,0.456874166484204,0.0287451599831637
67,0,24.0666160611607,6.03818022572341,6.03818022572341,12.9886404139814
68,0,6.38319998369623,5.93828500521918,5.93828500521918,0.341832320549028
69,0,6.27406188844638,2.15774860519446,2.15774860519446,237.540126416002
70,0,0.128606725514182,0.0598623088013766,0.0598623088013766,0.00160028400784545
71,0,0.629596510314879,1.48518993573837e-05,1.48518993573837e-05,4.23618062407349e-19
72,0,4.82528561067533,0.0209504934153205,0.0209504934153205,5.21733477965988e-12
73,0,112.557529165776,76.0624665373277,76.0624665373277,281.558095493328
74,0,0.345346718510827,0.0126588667791301,0.0126588667791301,0.000454695020637071
75,0,0.167586015858582,0.0021707980199971,0.0021707980199971,1.41863389541843e-06
76,0,2.64191406418931,2.4507204048671,2.4507204048671,0.0016401798659202
77,0,2.18144559681152,1.99902875914151,1.99902875914151,0.899985580760329
78,0,9.20271688458869,0.510766231762491,0.510766231762491,177.224248003039
79,0,0.146200155543605,0.0505804156990322,0.0505804156990322,1.09014552979809
80,0,5.63988904432396,0.000177002952918359,0.000177002952918359,1.29282512761502e-21
81,0,72.6666750436134,70.8168269587278,70.8168269587278,6.60660020698423
82,0,14.681638258294,14.407656116889,14.407656116889,7.82425030527479
83,0,121.053704060623,33.1225879227261,33.1225879227261,6.08391396016815
84,0,582.014971930964,81.1487097222253,81.1487097222253,268.275642978249
85,0,3.34927453798962,1.74753049163596,1.74753049163596,0.0557265724897846
86,0,0.563567750815677,0.00363828589840867,0.00363828589840867,0.000178703830529158
87,0,6.66048883842977,4.88523976518997,4.88523976518997,0.0103749086125848
88,0,10.8407697287087,0.0129256861804869,0.0129256861804869,1.38176496093282e-09
89,0,11.5091810396975,0.114619774956838,0.114619774956838,9.61072685589401e-10
90,0,1564.92858506536,1344.07422736196,1344.07422736196,1391.08884141573
91,0,4.20753336414501,3.58776930404913,3.58776930404913,0.494795788318338
92,0,4.3336040179603,0.961096546822515,0.961096546822515,1.7250891596754
93,0,98.3871012651041,88.3140812947601,88.3140812947601,0.871659495745422
94,0,1.60096873262995,5.26985888119483e-05,5.26985888119483e-05,1.76522033803712e-24
95,0,0.232024620236774,0.0976965750341621,0.0976965750341621,1.92009462114745
96,0,10.6576577493503,0.425495566532757,0.425495566532757,1.12053393005963
97,0,453.104794533672,298.398317255342,298.398317255342,884.643520460505
98,0,22.0354069768824,12.7924020327204,12.7924020327204,11.3642281336353
99,0,4.94112546618525,0.654612937113845,0.654612937113845,0.220930617466681
100,0,50.9350093825558,45.6061254772922,45.6061254772922,56.355068363536
